25,4,57.62,2792.77,4622.11,395.24,448.28,985.817000,1.822040
50,4,99.95,5293.34,7634.72,396.68,542.42,1402.274000,3.381000
75,4,117.96,6800.24,9266.77,395.12,579.94,1491.472000,5.050710
100,4,130.58,7750.07,10277.92,405.19,604.75,1517.898000,7.094720
125,4,136.75,8411.15,11022.08,441.36,624.23,1545.337000,9.320870
150,4,142.77,9101.19,11691.72,433.20,615.55,1541.779000,10.726860
175,4,145.66,9458.35,12084.73,440.74,634.15,1551.489000,13.320780
200,4,150.20,9905.12,12599.26,466.39,654.48,1573.276000,14.944530
225,4,166.01,10333.47,13272.79,657.32,671.86,1610.150000,13.822470
250,4,176.19,10778.03,13781.49,675.46,693.15,1634.842000,14.493610
275,4,185.34,11166.75,14294.29,753.78,710.66,1663.105000,15.953910
300,4,202.46,11749.66,15026.94,855.08,729.19,1693.012000,15.224410
325,4,206.61,11827.12,15278.14,987.15,751.81,1712.061000,14.711700
350,4,218.28,12296.06,15855.32,1041.25,765.42,1752.586000,15.668960
375,4,240.62,12783.76,16622.03,1225.20,813.46,1799.607000,16.068660
400,4,234.73,12915.60,16597.81,1116.20,778.44,1787.568000,17.595210
