25,4,78.03,3555.28,4977.01,0.00,354.30,1067.436709,6.195057
50,4,136.91,6414.33,8513.77,0.00,514.01,1585.435743,62.949164
75,4,164.98,8152.57,10409.31,0.00,565.49,1691.240694,18.772141
100,4,185.15,9445.17,11778.40,0.00,578.12,1755.118752,14.016283
125,4,202.98,10580.76,12989.33,0.00,614.08,1794.495162,16.221799
150,4,215.39,11417.45,13863.95,0.00,628.45,1818.047638,17.059940
175,4,225.18,12176.55,14658.93,0.00,631.21,1851.176185,18.440453
200,4,240.00,12978.10,15503.75,0.00,658.45,1867.197973,17.017598
225,4,252.62,13536.56,16133.55,0.00,719.17,1877.824980,15.675366
250,4,264.10,14042.25,16698.56,0.00,762.28,1894.026737,16.948097
275,4,272.33,14619.34,17292.45,0.00,765.56,1907.539139,17.047391
300,4,279.65,15150.96,17865.79,0.00,791.62,1923.208797,18.287264
325,4,285.89,15552.66,18268.46,0.00,791.83,1923.969734,18.894811
350,4,291.08,16002.29,18718.45,0.00,783.58,1932.589405,20.177206
375,4,300.27,16523.59,19266.53,0.00,796.75,1946.181577,21.192392
400,4,302.97,16714.83,19472.28,0.00,805.52,1951.925722,22.120004
