5,646.00,41896.74,49441.89,705.47,1353.23,5486.462500,46.417730
10,731.00,41393.01,49262.45,646.05,1722.47,5500.921500,44.648970
15,761.00,41063.38,49184.24,698.77,1906.33,5515.769500,46.798050
20,775.00,40764.66,49032.19,744.37,1995.00,5528.153000,43.527255
25,785.00,40838.95,49093.31,676.04,2039.41,5538.914000,42.633620
30,793.00,40533.21,48935.52,741.61,2103.15,5557.552000,46.983180
35,796.00,40351.07,48801.34,775.46,2111.45,5563.371500,45.978840
40,803.00,40275.51,48806.78,786.29,2174.07,5570.909000,44.824370
45,805.00,40047.27,48643.16,802.53,2211.31,5582.043000,42.915970
50,807.00,39892.69,48575.91,850.73,2239.02,5593.477000,42.066930
55,813.00,39823.42,48574.81,852.97,2306.81,5591.614500,45.162665
60,811.00,39523.63,48333.57,934.93,2289.59,5585.414000,44.188755
65,817.00,39612.93,48473.06,918.20,2334.74,5607.186000,45.383405
70,820.00,39582.27,48468.06,911.78,2365.14,5608.876000,44.009945
