400,1,57.17,6608.15,8302.26,547.44,398.21,748.450667
400,2,157.85,14013.29,17669.34,1093.00,718.15,1844.908259
400,3,247.98,19929.05,25347.38,1569.85,1015.10,2833.377849
400,4,329.12,24696.50,31900.72,2152.17,1343.69,3708.352095
400,5,394.61,27955.31,36843.68,2732.96,1694.73,4460.681270
400,6,446.26,30955.06,41287.63,3230.48,2012.97,5089.126792
400,7,494.46,33102.07,44717.32,3669.30,2298.08,5647.877500
400,8,508.34,32692.06,45673.27,4374.60,2633.07,5973.539567
400,9,530.34,33272.83,47219.17,4772.02,2898.89,6275.427865
400,10,554.93,33557.67,48720.66,5320.10,3266.46,6576.418745
400,11,568.29,33007.15,49435.12,5995.94,3588.91,6843.121532
400,12,593.73,33432.02,51113.03,6562.69,3937.14,7181.181898
400,13,618.36,34058.09,53008.68,7115.25,4269.49,7565.846202
