25,4,182.55,9130.48,13556.04,601.98,896.91,2926.670049
50,4,317.49,16744.41,22867.02,671.02,1158.76,4292.829935
75,4,398.71,21868.37,28497.14,669.60,1262.02,4697.144975
100,4,459.34,25651.45,32581.11,686.13,1340.77,4902.770251
125,4,512.47,28887.87,36056.98,688.84,1412.01,5068.260662
150,4,552.58,31395.71,38715.13,696.47,1460.37,5162.582516
175,4,592.16,33834.06,41255.30,669.94,1505.49,5245.803288
200,4,626.13,35843.41,43410.69,698.63,1548.45,5320.198194
225,4,655.53,37696.54,45338.91,690.34,1583.48,5368.550170
250,4,681.52,39347.80,47041.90,676.39,1602.87,5414.826904
275,4,702.37,40823.23,48600.89,709.88,1620.74,5447.033190
300,4,724.56,42199.19,50062.55,716.65,1658.46,5488.252356
325,4,747.25,43646.12,51530.69,685.89,1673.70,5524.985893
350,4,766.52,44823.12,52756.36,695.15,1685.08,5553.013079
375,4,785.50,46071.24,54049.40,686.67,1708.80,5582.690309
400,4,799.77,47046.27,55069.62,702.43,1715.09,5605.827165
