25,4,256.79,13945.37,20807.14,1047.25,1240.27,4574.25,41.4885
25,4,290.12,15275.41,22406.28,1003.04,1495.79,4632.04,31.6716
25,4,316.66,16607.29,23611.84,715.62,1391.30,4897.63,37.6187
25,4,331.77,17756.04,23870.37,530.70,1456.64,4126.99,30.1836
25,4,321.17,15567.32,23202.37,690.05,1562.29,5382.72,30.5774
25,4,287.73,14591.54,22701.12,864.72,1577.79,5667.07,33.3610
25,4,318.49,15808.25,23080.78,808.09,1427.95,5036.48,32.4099
25,4,312.34,15176.00,22202.62,699.39,1413.22,4914.01,32.4136
25,4,269.19,14235.07,21195.11,786.46,1403.45,4770.14,30.3541
25,4,295.36,15137.64,22373.42,717.27,1391.75,5126.76,35.8777
25,4,299.99,15259.40,22617.39,940.72,1494.22,4923.06,37.7934
25,4,307.22,14912.42,22413.37,943.72,1512.20,5045.04,34.6642
25,4,340.66,17548.87,24308.28,649.44,1471.74,4638.24,30.9658
25,4,319.14,16149.70,23285.45,837.77,1530.93,4767.04,32.9088
25,4,283.64,14692.54,22285.07,1088.81,1519.09,4984.63,34.7382
25,4,294.63,14696.04,22228.67,872.11,1372.87,5287.65,34.9590
25,4,294.25,15412.42,22595.88,780.36,1543.70,4859.40,37.7798
25,4,320.67,16471.08,23354.01,721.59,1461.81,4699.52,35.3958
25,4,313.56,16292.31,23089.19,771.38,1444.53,4580.97,32.1618
25,4,285.78,14055.45,22146.73,1044.00,1461.06,5586.21,36.2891
25,4,275.69,14703.71,21822.76,1071.16,1412.62,4635.27,33.3042
25,4,319.30,15840.89,23179.05,668.19,1484.15,5185.84,36.9075
25,4,321.20,14693.69,22018.22,751.07,1464.87,5108.60,31.1090
25,4,324.79,15869.25,23210.94,668.03,1364.96,5308.70,37.4679
25,4,294.60,15837.00,22906.28,900.55,1411.80,4756.93,32.1293
25,4,283.82,15934.95,22842.47,907.07,1380.82,4619.64,31.1149
25,4,311.47,15249.55,23485.08,671.55,1641.30,5922.68,33.3727
25,4,291.81,14409.60,22231.13,889.30,1575.73,5356.50,41.1613
25,4,291.68,14742.94,22923.70,1039.10,1599.36,5542.30,36.6093
25,4,322.00,16454.81,23256.25,718.07,1491.71,4591.67,35.8415
25,4,310.67,15047.83,23019.11,1071.54,1524.96,5374.78,32.4283
25,4,306.84,14120.00,22075.87,893.74,1450.52,5611.61,38.8288
25,4,298.96,15290.19,22447.93,834.89,1480.66,4842.19,42.8916
25,4,257.97,14400.67,21828.47,1005.45,1418.28,5004.07,38.9412
25,4,257.70,13907.30,21211.50,889.84,1345.87,5068.49,35.2352
25,4,317.73,16774.02,23715.89,609.00,1425.09,4907.78,35.9530
25,4,286.18,14715.63,22329.48,865.74,1384.73,5363.39,35.7813
25,4,317.79,15288.44,23009.15,728.37,1632.46,5359.88,48.2556
25,4,317.57,17260.94,23986.12,883.48,1565.54,4276.16,34.1173
25,4,294.00,14778.13,22282.40,746.09,1487.72,5270.47,30.8459
25,4,258.26,14953.57,21849.42,881.81,1411.24,4602.79,33.8185
