25,4,303.75,1502.39,18845.48,9343.88,3644.90,4354.308700,0.013609
50,4,448.34,8707.08,27837.26,9313.70,3638.91,6177.561500,0.014217
75,4,490.87,10977.87,30536.42,9289.03,3641.94,6627.572200,0.018480
100,4,506.90,11838.89,31583.53,9334.72,3638.63,6771.287100,0.024061
125,4,517.38,12369.24,32153.35,9304.34,3632.15,6847.623800,0.028144
150,4,521.73,12585.06,32414.18,9317.58,3636.90,6874.640600,0.034511
175,4,526.45,12906.01,32708.83,9269.14,3616.09,6917.593700,0.050033
200,4,526.61,12888.37,32776.23,9330.37,3643.42,6914.068000,0.044485
225,4,529.90,12938.45,32842.10,9322.54,3648.16,6932.956100,0.044524
250,4,530.51,13037.19,32925.92,9314.48,3636.56,6937.692200,0.049741
275,4,528.65,12896.25,32850.20,9360.38,3657.42,6936.148700,0.054403
300,4,531.33,13092.66,33018.10,9344.35,3636.09,6945.005100,0.058879
325,4,531.93,13071.62,33000.21,9341.76,3642.28,6944.559000,0.063800
350,4,533.21,13213.16,33124.71,9329.59,3636.89,6945.061900,0.068610
375,4,532.47,13094.25,33043.18,9354.78,3650.17,6943.977200,0.093566
400,4,532.66,13242.95,33151.49,9318.37,3636.88,6953.291900,0.087859
