25,4,231.37,7886.56,13578.79,413.83,2254.39,3024.008700,0.889920,1.831654
50,4,367.54,15120.37,22419.32,416.06,2711.88,4171.022100,0.688433,3.488361
75,4,417.62,19276.56,26938.81,418.76,2834.87,4408.617900,0.518760,5.249745
100,4,444.22,22158.30,29927.73,418.85,2875.46,4475.123000,0.412727,6.980740
125,4,466.13,24242.59,32133.85,432.67,2936.44,4522.148400,0.345661,8.277304
150,4,482.60,25868.39,33878.42,477.05,2982.15,4550.821900,0.298444,9.545360
175,4,502.13,27416.52,35545.68,566.82,2973.98,4588.367500,0.266139,10.484897
200,4,524.83,28812.31,37203.86,719.50,3020.05,4652.001800,0.243855,10.991534
225,4,543.82,30007.27,38582.33,848.43,3043.77,4682.859500,0.225025,11.422398
250,4,571.78,31250.98,40223.99,1146.26,3049.59,4777.170200,0.214384,12.171643
275,4,602.45,32467.47,41810.02,1401.00,3089.98,4851.568800,0.205425,12.281797
300,4,626.78,33499.98,43162.17,1647.01,3104.38,4910.810900,0.196882,13.459290
325,4,653.58,34626.05,44637.37,1900.06,3110.19,5001.070700,0.190703,14.057001
350,4,677.81,35664.76,45906.39,2048.61,3132.99,5060.024700,0.183885,15.164248
375,4,707.04,36684.36,47253.56,2289.36,3142.75,5137.092200,0.179449,15.871896
400,4,727.23,37552.64,48346.28,2458.28,3153.22,5182.138500,0.173513,17.458684
