25,4,243.99,7449.40,13578.79,413.83,2691.54,3024.008700,2.047175
50,4,379.04,14720.65,22419.32,416.06,3111.59,4171.022100,3.824732
75,4,428.20,18907.75,26938.81,418.76,3203.68,4408.617900,5.546549
100,4,454.89,21789.39,29927.73,418.85,3244.37,4475.123000,7.694866
125,4,476.06,23890.12,32133.85,432.67,3288.91,4522.148400,9.935152
150,4,492.72,25512.18,33878.42,477.05,3338.36,4550.821900,11.275778
175,4,511.31,27090.67,35545.68,566.82,3299.82,4588.367500,12.711901
200,4,534.15,28485.70,37203.86,719.50,3346.66,4652.001800,12.658486
225,4,552.33,29707.67,38582.33,848.43,3343.37,4682.859500,12.888578
250,4,580.35,30957.78,40223.99,1146.26,3342.78,4777.170200,12.613483
275,4,610.28,32194.88,41810.02,1401.00,3362.57,4851.568800,11.526937
300,4,634.82,33224.92,43162.17,1647.01,3379.44,4910.810900,12.063945
325,4,661.22,34362.08,44637.37,1900.06,3374.16,5001.070700,12.389651
350,4,685.04,35416.61,45906.39,2048.61,3381.14,5060.024700,13.044298
375,4,713.99,36454.95,47253.56,2289.36,3372.16,5137.092200,12.515500
400,4,733.62,37333.47,48346.28,2458.28,3372.38,5182.138500,13.577125
