25,4,156.58,2647.09,10872.84,4027.91,1760.18,2437.658000,0.732267,0.143880
50,4,230.48,8097.50,17419.13,3977.10,1842.74,3501.794000,0.574667,0.055360
75,4,256.48,11706.67,20710.87,3490.65,1808.66,3704.902000,0.446933,0.057980
100,4,275.74,13754.82,22492.18,3222.84,1785.92,3728.606000,0.359733,0.053400
125,4,300.95,15834.35,24622.39,3208.59,1747.90,3831.562000,0.312480,0.082340
150,4,334.37,18666.66,27531.64,3093.11,1747.64,4024.238000,0.289600,0.076420
175,4,322.19,18953.41,27619.34,3055.78,1768.25,3841.886000,0.247657,0.086360
200,4,332.23,20132.64,28555.81,2846.61,1748.96,3827.606000,0.222133,0.102080
225,4,349.17,21239.84,29790.02,2908.15,1745.06,3896.968000,0.205956,0.126460
250,4,374.52,23576.02,32135.36,2818.53,1690.68,4050.136000,0.198453,0.130220
275,4,349.16,23605.48,31510.75,2345.46,1646.13,3913.682000,0.177188,0.140780
300,4,363.13,25216.34,33102.00,2285.33,1632.22,3968.106000,0.168467,0.155000
325,4,369.30,24821.33,32735.37,2380.11,1681.19,3852.742000,0.155015,0.160200
350,4,371.80,26361.51,34156.77,2257.25,1647.52,3890.482000,0.148743,0.165380
375,4,366.19,26229.21,33872.04,2177.40,1643.06,3822.370000,0.138133,0.184060
400,4,377.83,26836.10,34645.72,2321.58,1658.45,3829.598000,0.131683,0.192720
