25,4,0.01,57.68,2608.32,4133.29,364.14,273.67,887.165711
25,4,0.01,59.08,2538.98,4018.97,371.87,272.66,835.460780
25,4,0.01,63.12,3040.27,4584.17,361.80,303.79,878.310784
50,4,0.01,92.89,4783.52,6921.32,488.76,357.72,1291.314163
50,4,0.01,107.97,5310.27,7236.63,313.73,376.24,1236.391994
50,4,0.01,112.85,5483.97,7524.27,319.55,406.97,1313.772577
75,4,0.01,115.80,6203.15,8209.42,320.60,333.17,1352.489432
75,4,0.01,140.72,7151.63,9312.17,349.23,406.90,1404.408306
75,4,0.01,155.03,7798.03,10055.17,328.98,425.30,1502.869594
100,4,0.01,150.24,8056.08,10323.72,341.94,396.01,1529.688449
100,4,0.01,144.55,7713.69,9975.48,427.66,443.88,1390.242794
100,4,0.01,172.76,8773.55,11228.26,353.16,490.58,1610.966470
125,4,0.01,169.07,9075.11,11416.18,313.44,449.15,1578.482317
125,4,0.01,171.88,9216.54,11640.65,441.43,463.08,1519.594851
125,4,0.01,175.92,9360.67,11702.66,377.23,441.71,1523.047993
150,4,0.01,182.09,10031.63,12396.51,299.10,452.82,1612.950933
150,4,0.01,187.51,9862.00,12244.25,389.00,504.51,1488.748090
150,4,0.01,209.18,11128.35,13556.34,315.84,476.17,1635.972627
175,4,0.01,175.24,9968.61,12360.78,403.90,439.33,1548.933639
175,4,0.01,190.91,10626.25,12985.77,299.18,498.22,1562.125773
175,4,0.01,200.03,11733.01,14428.21,488.38,508.26,1698.550783
200,4,0.01,169.71,10212.20,12704.92,507.96,383.71,1601.047254
200,4,0.01,215.48,11884.56,14338.26,380.13,497.91,1575.660992
200,4,0.01,234.78,12296.99,14873.72,386.46,495.00,1695.267733
225,4,0.01,192.54,11326.87,13671.86,366.26,399.22,1579.519622
225,4,0.01,225.29,11894.64,14296.25,316.22,521.71,1563.690375
225,4,0.01,217.49,12463.03,15070.65,439.78,520.64,1647.198532
250,4,0.01,220.44,12362.37,14804.19,312.53,450.72,1678.562493
250,4,0.01,206.19,12021.37,14504.08,411.94,497.76,1573.006120
250,4,0.01,253.26,13403.54,15946.19,390.24,471.72,1680.674909
275,4,0.01,224.39,12669.74,15132.13,333.04,444.36,1684.993378
275,4,0.01,225.24,12649.60,15191.73,420.46,516.03,1605.633379
275,4,0.01,258.82,13865.83,16681.88,455.83,571.86,1788.355740
300,4,0.01,213.71,12571.72,14961.60,315.90,416.99,1656.980866
300,4,0.01,226.89,13466.72,15778.14,265.58,455.66,1590.179955
300,4,0.01,257.87,14273.95,16999.09,430.21,557.67,1737.262492
325,4,0.01,226.23,13527.23,15938.90,315.62,443.64,1652.399246
325,4,0.01,240.88,13818.19,16325.90,355.67,515.11,1636.933420
325,4,0.01,282.66,15346.34,18278.90,461.87,662.21,1808.475747
350,4,0.01,219.89,13055.43,15420.83,369.43,414.62,1581.343120
350,4,0.01,238.92,13539.91,16147.03,512.22,458.87,1636.026544
350,4,0.01,275.53,15851.24,18669.04,391.01,634.26,1792.522022
375,4,0.01,237.68,13688.36,15905.28,223.23,383.92,1609.761645
375,4,0.01,253.86,14875.06,17446.44,349.72,558.00,1663.657061
375,4,0.01,281.40,16457.22,19105.08,352.17,520.87,1774.814775
400,4,0.01,243.01,14211.57,16723.03,410.52,435.03,1665.912140
400,4,0.01,263.17,15130.41,17757.07,355.58,605.69,1665.382791
400,4,0.01,299.21,16685.21,19528.47,413.97,622.10,1807.185208
