25,4,184.34,955.72,11478.86,5670.09,2224.78,2628.266900,0.764640,0.016935
50,4,274.85,5373.43,17012.90,5668.62,2223.18,3747.677000,0.568207,0.010010
75,4,300.63,6832.38,18728.54,5646.37,2217.31,4032.475900,0.416044,0.013498
100,4,310.10,7331.58,19313.87,5646.63,2222.31,4113.345300,0.321480,0.010068
125,4,316.87,7675.65,19687.04,5641.42,2209.06,4160.912100,0.262520,0.012128
150,4,319.60,7761.08,19862.40,5685.61,2224.06,4191.651600,0.220991,0.013774
175,4,322.16,7952.00,20042.33,5662.43,2224.58,4203.325500,0.190989,0.015138
200,4,322.23,7974.04,20055.03,5648.98,2221.60,4210.416200,0.167140,0.017363
225,4,322.79,8025.04,20096.57,5643.49,2210.17,4217.876200,0.148896,0.019936
250,4,324.49,7967.00,20108.09,5679.66,2238.73,4222.705000,0.134127,0.021363
275,4,323.48,8008.37,20114.95,5661.07,2232.78,4212.728600,0.121967,0.023890
300,4,324.29,8126.38,20197.91,5631.26,2217.05,4223.225400,0.112214,0.027951
325,4,326.39,8079.32,20171.38,5657.62,2219.64,4214.788400,0.103335,0.027811
350,4,325.67,8146.47,20242.09,5661.54,2214.89,4219.191500,0.096410,0.030360
375,4,326.03,8127.74,20225.01,5657.55,2219.15,4220.571600,0.089937,0.031844
400,4,325.67,8165.59,20260.79,5658.17,2224.95,4212.077900,0.084322,0.033538
