25,4,166.49,2670.40,9597.46,2062.73,2855.24,2009.088582,0.633280,9.405035
50,4,277.39,8205.49,16034.87,1876.72,2991.53,2961.127557,0.524320,8.771652
75,4,346.36,12219.46,20294.48,1730.99,3033.29,3310.736543,0.434089,7.901983
100,4,397.97,15211.24,23416.97,1653.10,3069.96,3482.667914,0.371630,8.164227
125,4,435.79,17409.52,25678.84,1634.75,3068.30,3566.268364,0.324877,8.282234
150,4,468.33,19320.27,27598.82,1578.35,3069.98,3630.215649,0.290402,8.220358
175,4,500.18,21281.24,29618.56,1537.40,3081.10,3718.814619,0.265722,8.400244
200,4,525.81,22974.60,31269.43,1441.48,3082.29,3771.058234,0.243967,8.485348
225,4,547.97,24465.01,32742.97,1384.63,3081.47,3811.857001,0.226010,8.662505
250,4,566.26,25684.46,33983.75,1384.70,3081.49,3833.092713,0.209852,8.385016
275,4,586.67,27155.48,35407.60,1304.06,3070.60,3877.464721,0.197680,8.413211
300,4,603.48,28297.45,36557.05,1273.71,3071.41,3914.469166,0.186471,8.498391
325,4,620.64,29427.98,37711.35,1269.92,3067.27,3946.180382,0.176874,18.660951
350,4,636.63,30481.98,38772.23,1253.54,3058.15,3978.548796,0.168539,34.819502
375,4,651.28,31408.99,39711.50,1239.54,3059.81,4003.160557,0.160804,35.044749
400,4,663.29,32231.24,40476.04,1185.83,3043.66,4015.317306,0.153606,35.417179
